date,naics,kind_of_business,sales_million_usd,rolling_goal,vs_goal,percent_diff
2023-02-01,448,Clothing and clothing access. stores,19902.0,18427.0,1475.0,8.0
2023-03-01,448,Clothing and clothing access. stores,23641.0,19164.5,4476.5,23.36
2023-04-01,448,Clothing and clothing access. stores,23422.0,20656.666666666668,2765.333333333332,13.39
2023-05-01,448,Clothing and clothing access. stores,25160.0,21348.0,3812.0,17.86
2023-06-01,448,Clothing and clothing access. stores,23528.0,22110.4,1417.5999999999985,6.41
2023-07-01,448,Clothing and clothing access. stores,24075.0,22346.666666666668,1728.3333333333321,7.73
2023-08-01,448,Clothing and clothing access. stores,25772.0,22593.571428571428,3178.4285714285725,14.07
2023-09-01,448,Clothing and clothing access. stores,22573.0,22990.875,-417.875,-1.82
2023-10-01,448,Clothing and clothing access. stores,23143.0,22944.444444444445,198.55555555555475,0.87
2023-11-01,448,Clothing and clothing access. stores,27490.0,22964.3,4525.700000000001,19.71
2023-12-01,448,Clothing and clothing access. stores,39318.0,23375.727272727272,15942.272727272728,68.2
2024-01-01,448,Clothing and clothing access. stores,18472.0,24704.25,-6232.25,-25.23
2024-02-01,448,Clothing and clothing access. stores,21169.0,24224.846153846152,-3055.8461538461524,-12.61
2024-03-01,448,Clothing and clothing access. stores,24109.0,24006.571428571428,102.42857142857247,0.43
2024-04-01,448,Clothing and clothing access. stores,23150.0,24013.4,-863.4000000000015,-3.6
2024-05-01,448,Clothing and clothing access. stores,26511.0,23959.4375,2551.5625,10.65
2024-06-01,448,Clothing and clothing access. stores,24285.0,24109.529411764706,175.4705882352937,0.73
2024-07-01,448,Clothing and clothing access. stores,24575.0,24119.277777777777,455.7222222222226,1.89
2024-08-01,448,Clothing and clothing access. stores,26262.0,24143.263157894737,2118.7368421052633,8.78
2024-09-01,448,Clothing and clothing access. stores,22259.0,24249.2,-1990.2000000000007,-8.21
2024-10-01,448,Clothing and clothing access. stores,24359.0,24154.428571428572,204.57142857142753,0.85
2024-11-01,448,Clothing and clothing access. stores,28716.0,24163.727272727272,4552.272727272728,18.84
2024-12-01,448,Clothing and clothing access. stores,39876.0,24361.652173913044,15514.347826086956,63.68
2025-01-01,448,Clothing and clothing access. stores,19461.0,25008.083333333332,-5547.083333333332,-22.18
2025-02-01,448,Clothing and clothing access. stores,20653.0,24786.2,-4133.200000000001,-16.68
2025-03-01,448,Clothing and clothing access. stores,24956.0,24627.23076923077,328.7692307692305,1.33
2023-02-01,4481,Clothing stores,13678.0,13006.0,672.0,5.17
2023-03-01,4481,Clothing stores,16871.0,13342.0,3529.0,26.45
2023-04-01,4481,Clothing stores,16843.0,14518.333333333334,2324.666666666666,16.01
2023-05-01,4481,Clothing stores,17577.0,15099.5,2477.5,16.41
2023-06-01,4481,Clothing stores,16711.0,15595.0,1116.0,7.16
2023-07-01,4481,Clothing stores,17278.0,15781.0,1497.0,9.49
2023-08-01,4481,Clothing stores,18044.0,15994.857142857143,2049.142857142857,12.81
2023-09-01,4481,Clothing stores,16221.0,16251.0,-30.0,-0.18
2023-10-01,4481,Clothing stores,16795.0,16247.666666666666,547.3333333333339,3.37
2023-11-01,4481,Clothing stores,20028.0,16302.4,3725.6000000000004,22.85
2023-12-01,4481,Clothing stores,25954.0,16641.090909090908,9312.909090909092,55.96
2024-01-01,4481,Clothing stores,12991.0,17417.166666666668,-4426.166666666668,-25.41
2024-02-01,4481,Clothing stores,14492.0,17076.69230769231,-2584.6923076923085,-15.14
2024-03-01,4481,Clothing stores,17315.0,16892.071428571428,422.92857142857247,2.5
2024-04-01,4481,Clothing stores,16628.0,16920.266666666666,-292.2666666666664,-1.73
2024-05-01,4481,Clothing stores,18808.0,16902.0,1906.0,11.28
2024-06-01,4481,Clothing stores,17406.0,17014.117647058825,391.88235294117476,2.3
2024-07-01,4481,Clothing stores,17528.0,17035.88888888889,492.1111111111095,2.89
2024-08-01,4481,Clothing stores,18518.0,17061.78947368421,1456.21052631579,8.53
2024-09-01,4481,Clothing stores,15870.0,17134.6,-1264.5999999999985,-7.38
2024-10-01,4481,Clothing stores,17564.0,17074.380952380954,489.6190476190459,2.87
2024-11-01,4481,Clothing stores,21142.0,17096.636363636364,4045.363636363636,23.66
2024-12-01,4481,Clothing stores,26462.0,17272.521739130436,9189.478260869564,53.2
2025-01-01,4481,Clothing stores,14097.0,17655.416666666668,-3558.416666666668,-20.15
2025-02-01,4481,Clothing stores,14489.0,17513.08,-3024.0800000000017,-17.27
2025-03-01,4481,Clothing stores,18317.0,17396.76923076923,920.2307692307695,5.29
2023-02-01,44812,Women's clothing stores,2421.0,2233.0,188.0,8.42
2023-03-01,44812,Women's clothing stores,3025.0,2327.0,698.0,30.0
2023-04-01,44812,Women's clothing stores,3022.0,2559.6666666666665,462.3333333333335,18.06
2023-05-01,44812,Women's clothing stores,3224.0,2675.25,548.75,20.51
2023-06-01,44812,Women's clothing stores,2804.0,2785.0,19.0,0.68
2023-07-01,44812,Women's clothing stores,2905.0,2788.1666666666665,116.83333333333348,4.19
2023-08-01,44812,Women's clothing stores,2932.0,2804.8571428571427,127.14285714285734,4.53
2023-09-01,44812,Women's clothing stores,2834.0,2820.75,13.25,0.47
2023-10-01,44812,Women's clothing stores,2838.0,2822.222222222222,15.777777777777828,0.56
2023-11-01,44812,Women's clothing stores,3240.0,2823.8,416.1999999999998,14.74
2023-12-01,44812,Women's clothing stores,4068.0,2861.6363636363635,1206.3636363636365,42.16
2024-01-01,44812,Women's clothing stores,2109.0,2962.1666666666665,-853.1666666666665,-28.8
2024-02-01,44812,Women's clothing stores,2510.0,2896.5384615384614,-386.53846153846143,-13.34
2024-03-01,44812,Women's clothing stores,3095.0,2868.9285714285716,226.07142857142844,7.88
2024-04-01,44812,Women's clothing stores,2866.0,2884.0,-18.0,-0.62
2024-05-01,44812,Women's clothing stores,3160.0,2882.875,277.125,9.61
2024-06-01,44812,Women's clothing stores,2680.0,2899.176470588235,-219.17647058823513,-7.56
2024-07-01,44812,Women's clothing stores,2750.0,2887.0,-137.0,-4.75
2024-08-01,44812,Women's clothing stores,2836.0,2879.7894736842104,-43.78947368421041,-1.52
2024-09-01,44812,Women's clothing stores,2479.0,2877.6,-398.5999999999999,-13.85
2024-10-01,44812,Women's clothing stores,2665.0,2858.6190476190477,-193.6190476190477,-6.77
2024-11-01,44812,Women's clothing stores,3249.0,2849.818181818182,399.181818181818,14.01
2024-12-01,44812,Women's clothing stores,3756.0,2867.1739130434785,888.8260869565215,31.0
2025-01-01,44812,Women's clothing stores,2238.0,2904.2083333333335,-666.2083333333335,-22.94
2025-02-01,44812,Women's clothing stores,2323.0,2877.56,-554.56,-19.27
2025-03-01,44812,Women's clothing stores,3101.0,2856.230769230769,244.76923076923094,8.57
2023-02-01,44814,Family clothing stores,7612.0,7409.0,203.0,2.74
2023-03-01,44814,Family clothing stores,9720.0,7510.5,2209.5,29.42
2023-04-01,44814,Family clothing stores,9772.0,8247.0,1525.0,18.49
2023-05-01,44814,Family clothing stores,10205.0,8628.25,1576.75,18.27
2023-06-01,44814,Family clothing stores,9911.0,8943.6,967.3999999999996,10.82
